quote_date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2018-01-12,-1360.115,-1260.5149999999999,-764.64,-740.04,-690.79,-544.39,-496.18999999999994,-424.84,-396.43999999999994,-377.73999999999995,-368.53999999999996,-340.93999999999994,-322.98999999999995,-288.03999999999996,-279.28999999999996,-236.63999999999996,-228.33999999999997,-188.63999999999996,-185.18999999999997,-167.03999999999996,-152.63999999999996,-145.73999999999995,-125.78999999999996,-101.53999999999996,-90.38999999999996,-84.98999999999995,-61.38999999999996,-53.18999999999997,-43.889999999999986,-36.18999999999997,-33.23999999999995,-27.989999999999952,-23.539999999999964,-11.43999999999994,-7.439999999999941,-4.439999999999941,-2.7899999999999636,-1.1399999999999864,-0.13999999999998636,0.06000000000005912,0.21000000000003638,1.3600000000001273
2018-02-09,-2415.1800000000003,-1818.8800000000003,-1523.0800000000004,-1014.1800000000003,-990.3800000000003,-779.9800000000002,-734.2800000000003,-535.7800000000003,-514.5800000000003,-453.6300000000003,-354.7800000000003,-298.9800000000003,-256.8800000000003,-246.5800000000003,-223.7300000000003,-198.4800000000003,-168.9800000000003,-93.43000000000029,-85.33000000000027,-83.38000000000034,-72.53000000000031,-43.030000000000314,-38.4800000000003,-36.38000000000034,-27.280000000000314,-14.430000000000291,-12.830000000000382,-11.980000000000246,-9.530000000000314,-8.730000000000246,-8.080000000000268,-7.180000000000291,-7.080000000000268,-6.680000000000291,-6.480000000000246,-6.080000000000382,-5.830000000000268,-5.730000000000473,-5.730000000000473,-5.630000000000109,-5.430000000000291,-4.580000000000382
2018-03-16,-1423.9249999999997,-1126.3999999999999,-830.7999999999998,-708.8499999999998,-564.5999999999998,-429.0999999999998,-401.6999999999998,-383.54999999999984,-379.24999999999983,-357.0999999999998,-348.1499999999998,-339.3999999999998,-334.99999999999983,-322.04999999999984,-287.8499999999998,-271.1999999999998,-192.19999999999982,-163.19999999999982,-149.3999999999998,-129.49999999999983,-110.84999999999982,-107.74999999999982,-104.89999999999982,-98.99999999999982,-93.54999999999981,-87.84999999999982,-82.8999999999998,-77.49999999999983,-45.89999999999981,-38.49999999999983,-35.44999999999982,-23.849999999999824,-22.599999999999824,-11.49999999999983,-8.99999999999983,-7.299999999999841,7.150000000000205,8.20000000000016,8.300000000000182,8.550000000000182,8.900000000000205,9.70000000000016
2018-04-13,-1829.6650000000002,-1729.7900000000002,-1629.9900000000002,-1530.565,-1331.9900000000002,-1233.015,-1134.39,-1036.44,-842.3900000000001,-653.2400000000001,-539.3400000000001,-451.39000000000016,-347.4900000000001,-289.09000000000015,-220.79000000000013,-213.89000000000016,-207.09000000000015,-200.54000000000013,-187.69000000000017,-181.04000000000013,-175.09000000000015,-168.69000000000017,-156.79000000000013,-153.74000000000015,-150.84000000000015,-133.94000000000017,-128.54000000000013,-123.24000000000015,-112.79000000000013,-102.94000000000014,-100.59000000000015,-98.44000000000014,-93.64000000000016,-89.19000000000014,-84.89000000000016,-78.84000000000015,-72.79000000000013,-52.040000000000134,-38.290000000000134,-32.590000000000146,-19.490000000000123,-4.440000000000055
2018-05-11,-2153.5850000000005,-1953.6600000000003,-1753.7850000000003,-1628.8850000000004,-1603.9100000000003,-1578.9350000000004,-1528.9850000000004,-1479.0600000000004,-1354.2600000000004,-1304.3850000000004,-1254.5600000000004,-1155.1100000000004,-1105.4100000000003,-1080.5350000000003,-1006.0600000000004,-981.2850000000004,-857.5600000000004,-685.3600000000004,-588.0100000000004,-564.0600000000004,-539.9100000000004,-516.1100000000004,-492.5100000000004,-399.3100000000004,-376.9100000000004,-354.5100000000004,-332.4600000000004,-269.1600000000004,-248.8100000000004,-228.8100000000004,-190.6600000000004,-172.9600000000004,-94.36000000000041,-81.51000000000039,-69.61000000000041,-58.86000000000041,-40.8100000000004,-17.860000000000355,-2.1100000000003547,-1.4100000000003092,-0.9100000000003092,-0.010000000000445652
2018-06-15,-2156.51,-1657.2350000000001,-1358.4100000000003,-1259.0600000000002,-961.4600000000003,-862.9100000000002,-642.6100000000002,-546.4100000000002,-522.4600000000003,-484.61000000000024,-382.9100000000002,-311.61000000000024,-302.86000000000024,-285.81000000000023,-268.7600000000002,-231.81000000000023,-227.81000000000023,-212.01000000000022,-196.31000000000023,-192.56000000000023,-166.51000000000022,-159.26000000000022,-152.26000000000022,-145.1100000000002,-112.56000000000022,-106.46000000000022,-94.61000000000021,-91.91000000000022,-89.06000000000022,-78.21000000000022,-54.26000000000022,-35.11000000000021,-20.860000000000213,-14.960000000000207,-10.660000000000224,-3.6600000000001955,6.139999999999759,8.539999999999736,8.689999999999827,9.289999999999964,9.789999999999736,9.889999999999873
2018-07-13,-1976.5949999999998,-1676.9699999999998,-1577.3449999999998,-1278.9699999999998,-1080.8199999999997,-859.2699999999998,-761.8199999999997,-737.6699999999997,-670.2199999999997,-660.5699999999997,-613.1199999999997,-547.1699999999997,-523.8199999999997,-500.7699999999997,-477.66999999999973,-463.9699999999997,-445.7699999999997,-357.0699999999997,-305.8199999999997,-272.7699999999997,-260.7199999999997,-194.71999999999971,-183.71999999999971,-165.71999999999971,-158.71999999999971,-152.0199999999997,-148.36999999999972,-115.76999999999971,-112.61999999999972,-106.61999999999972,-100.6699999999997,-89.46999999999969,-63.11999999999972,-60.81999999999971,-53.91999999999973,-49.56999999999971,-39.4199999999997,-33.91999999999973,-27.219999999999715,-24.11999999999972,-22.969999999999715,11.13000000000011
2018-08-17,-1880.04,-1182.59,-1083.59,-812.9399999999999,-691.3399999999999,-667.1899999999999,-570.89,-453.34,-430.03999999999996,-385.48999999999995,-318.59,-275.39,-213.23999999999995,-193.78999999999996,-137.98999999999995,-60.38999999999996,-38.18999999999994,-28.489999999999952,-11.039999999999964,-4.989999999999952,-0.8899999999999579,4.060000000000059,8.410000000000082,14.360000000000014,15.860000000000014,16.460000000000036,16.610000000000014,16.81000000000006,16.910000000000082,17.00999999999999,17.31000000000006,17.660000000000082,17.75999999999999,17.81000000000006,17.81000000000006,18.01000000000022,18.309999999999945,18.710000000000036,18.909999999999854,19.01000000000022,19.409999999999854,19.610000000000127
2018-09-14,-1647.025,-1547.35,-1448.15,-1248.475,-1149.2,-951.6,-853.25,-755.75,-659.15,-563.55,-470.25,-447.2,-401.85,-379.45,-272.25,-251.8,-231.85,-212.4,-175.05,-157.15,-140.0,-108.05,-93.4,-66.6,-44.400000000000006,-35.0,-26.75,-19.69999999999999,-13.550000000000011,-4.199999999999989,4.899999999999977,6.050000000000011,8.649999999999977,9.900000000000091,11.200000000000045,11.649999999999977,12.049999999999955,12.150000000000091,12.299999999999955,13.400000000000091,13.5,13.900000000000091
2018-10-12,-1860.385,-1661.8600000000001,-1365.1100000000001,-1267.01,-1169.71,-1144.96,-1072.71,-1048.66,-1024.66,-976.71,-928.8100000000001,-834.86,-719.36,-629.61,-607.36,-563.86,-458.46000000000004,-438.26000000000005,-398.46000000000004,-378.86,-340.96000000000004,-322.31000000000006,-304.21000000000004,-286.11,-268.81000000000006,-251.71000000000004,-218.61,-202.86,-187.51000000000005,-85.86000000000001,-51.06000000000006,-37.56000000000006,-31.660000000000025,-22.610000000000014,-11.660000000000082,-3.3099999999999454,-2.3600000000000136,-0.7599999999999909,1.8899999999998727,3.339999999999918,3.7399999999997817,4.039999999999964
