quote_date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2018-01-12,-1142.01,-742.51,-642.7850000000001,-592.985,-518.5600000000001,-420.235,-371.91,-324.46000000000004,-278.91,-215.66000000000003,-200.16000000000003,-185.41000000000003,-178.31000000000003,-161.16000000000003,-145.11000000000004,-133.36000000000004,-106.96000000000004,-102.31000000000003,-93.01000000000003,-77.26000000000003,-67.06000000000006,-63.81000000000003,-58.26000000000005,-51.710000000000036,-50.660000000000025,-40.11000000000004,-38.06000000000003,-30.260000000000048,-28.960000000000036,-24.160000000000025,-22.210000000000036,-19.81000000000006,-18.81000000000006,-18.56000000000006,-15.460000000000036,-12.06000000000006,-9.910000000000082,-5.710000000000036,-5.060000000000059,-4.660000000000082,0.03999999999996362,0.8899999999998727
2018-02-09,-1689.8199999999997,-1214.8199999999997,-1089.8199999999997,-1064.8199999999997,-1039.8199999999997,-989.8199999999997,-914.8199999999997,-839.8199999999997,-809.8199999999997,-769.8199999999997,-759.8199999999997,-699.8199999999997,-669.8199999999997,-640.4449999999997,-582.6199999999997,-568.4199999999997,-544.8199999999997,-446.3199999999997,-404.91999999999973,-397.0199999999997,-381.41999999999973,-310.5199999999997,-288.41999999999973,-285.3199999999997,-273.3199999999997,-198.36999999999972,-177.91999999999973,-163.41999999999973,-151.41999999999973,-146.5199999999997,-128.5199999999997,-109.01999999999975,-82.66999999999973,-69.7699999999997,-65.91999999999973,-38.66999999999962,-34.16999999999962,-18.619999999999663,-17.31999999999971,-0.5199999999997544,4.430000000000291,9.580000000000382
2018-03-16,-607.0000000000002,-582.2000000000002,-557.5250000000002,-532.8500000000001,-508.3000000000002,-483.82500000000016,-297.9000000000002,-289.4000000000002,-277.1000000000002,-237.9500000000002,-234.05000000000018,-205.9500000000002,-199.3500000000002,-186.8500000000002,-148.15000000000018,-143.1000000000002,-138.05000000000018,-133.65000000000018,-129.2000000000002,-125.00000000000017,-122.95000000000019,-120.95000000000019,-109.70000000000019,-99.55000000000018,-93.3500000000002,-82.25000000000017,-61.00000000000017,-57.600000000000136,-51.650000000000205,-49.60000000000019,-48.95000000000016,-47.70000000000016,-46.900000000000205,-43.650000000000205,-43.55000000000018,-41.650000000000205,-38.75000000000023,-28.450000000000273,-22.400000000000205,-19.700000000000273,-14.700000000000273,-11.25
2018-04-13,-576.7599999999999,-391.30999999999983,-329.15999999999985,-309.80999999999983,-273.40999999999985,-234.30999999999986,-225.05999999999986,-216.30999999999986,-210.90999999999985,-205.35999999999984,-199.80999999999986,-196.90999999999985,-194.60999999999984,-184.35999999999984,-174.65999999999985,-169.65999999999985,-165.30999999999983,-152.20999999999987,-150.10999999999984,-147.75999999999985,-140.00999999999985,-135.90999999999985,-132.45999999999987,-128.45999999999987,-121.40999999999985,-118.05999999999986,-114.95999999999987,-111.50999999999988,-84.80999999999983,-68.40999999999985,-47.10999999999984,-34.45999999999981,-23.009999999999877,-11.809999999999945,-5.710000000000036,-3.6099999999999,-1.959999999999809,-0.6599999999998545,1.4900000000002365,1.9400000000000546,2.7400000000002365,2.9400000000000546
2018-05-11,-948.3899999999996,-748.6399999999996,-648.9149999999996,-549.1149999999996,-264.9399999999996,-187.8899999999996,-155.6399999999996,-141.3399999999996,-128.0899999999996,-116.0899999999996,-69.13999999999959,-62.33999999999958,-50.1899999999996,-44.98999999999961,-40.239999999999554,-28.989999999999554,-25.9399999999996,-23.039999999999623,-20.6899999999996,-13.289999999999623,-12.039999999999509,-10.83999999999969,-9.4399999999996,-8.789999999999623,-5.789999999999509,-2.4399999999996,-1.0399999999996226,-0.6899999999995998,0.06000000000040018,0.06000000000040018,0.4600000000004911,1.4100000000003092,1.7100000000004911,1.7600000000004457,2.6100000000003547,2.9100000000003092,3.1100000000003547,3.210000000000491,3.3100000000004,3.710000000000491,4.010000000000446,4.510000000000218
2018-06-15,-1344.8649999999998,-1244.9149999999997,-1144.9649999999997,-845.1399999999998,-745.8899999999998,-472.5899999999998,-306.7899999999998,-263.2899999999998,-242.73999999999978,-223.2899999999998,-187.3899999999998,-156.58999999999978,-129.8899999999998,-120.98999999999978,-118.7899999999998,-116.63999999999979,-107.98999999999978,-104.63999999999979,-86.88999999999976,-83.83999999999978,-81.38999999999976,-78.68999999999977,-69.43999999999977,-68.18999999999977,-63.73999999999978,-59.53999999999979,-58.48999999999978,-50.48999999999978,-47.539999999999736,-44.48999999999978,-43.28999999999979,-34.38999999999976,-26.089999999999804,-23.83999999999969,-22.63999999999976,-18.439999999999827,-13.089999999999804,-11.839999999999804,-8.989999999999782,-8.1899999999996,-6.439999999999827,-4.789999999999964
2018-07-13,-1224.7050000000004,-231.5800000000003,-228.03000000000029,-220.9300000000003,-207.53000000000029,-197.9800000000003,-183.03000000000029,-177.4300000000003,-169.1800000000003,-166.6800000000003,-142.53000000000029,-133.9800000000003,-129.88000000000028,-126.03000000000029,-123.93000000000029,-106.3300000000003,-104.8300000000003,-101.63000000000028,-98.53000000000029,-91.38000000000028,-87.43000000000029,-68.13000000000034,-65.38000000000028,-58.38000000000028,-49.33000000000027,-37.83000000000027,-35.93000000000029,-34.63000000000034,-32.480000000000246,-30.58000000000027,-28.7800000000002,-24.830000000000382,-22.230000000000246,-21.730000000000246,-19.2800000000002,-18.380000000000337,-15.630000000000337,-11.580000000000382,-9.080000000000382,-7.5300000000002,-6.980000000000246,-5.8800000000003365
2018-08-17,-1924.96,-1824.96,-1624.96,-1524.96,-1424.96,-1224.96,-1099.96,-1024.96,-999.96,-974.96,-924.96,-824.96,-749.96,-724.96,-699.96,-649.96,-623.46,-548.835,-449.91,-330.46000000000004,-286.26000000000005,-265.46000000000004,-244.81000000000003,-225.96000000000004,-192.26000000000005,-177.26000000000005,-150.91000000000003,-103.91000000000003,-82.96000000000004,-77.16000000000003,-64.21000000000004,-56.860000000000014,-48.160000000000025,-44.210000000000036,-42.360000000000014,-33.710000000000036,-29.56000000000006,-28.710000000000036,-25.559999999999945,-20.809999999999945,-19.610000000000127,-14.010000000000218
2018-09-14,-1755.05,-1655.05,-1555.05,-1255.075,-1055.075,-955.1,-855.125,-755.175,-555.95,-482.025,-409.3,-385.55,-295.2,-254.1,-235.1,-217.1,-200.3,-184.65,-156.8,-133.35,-123.1,-104.94999999999999,-97.05000000000001,-89.6,-77.10000000000002,-71.5,-66.39999999999998,-61.55000000000001,-43.700000000000045,-41.0,-36.200000000000045,-34.14999999999998,-27.600000000000023,-21.25,-19.25,-16.649999999999977,-14.100000000000023,-11.950000000000045,-11.099999999999909,-9.700000000000045,-9.25,-8.75
2018-10-12,-1144.1399999999999,-1044.19,-944.29,-770.1899999999999,-671.74,-647.64,-623.24,-506.93999999999994,-441.93999999999994,-401.03999999999996,-381.84,-344.18999999999994,-278.78999999999996,-180.48999999999995,-170.78999999999996,-161.53999999999996,-144.13999999999996,-136.33999999999992,-128.83999999999992,-121.53999999999996,-114.68999999999994,-108.08999999999992,-96.08999999999997,-90.88999999999999,-80.58999999999997,-75.93999999999994,-56.389999999999986,-49.83999999999992,-47.139999999999986,-36.889999999999986,-26.889999999999986,-20.93999999999994,-19.039999999999964,-16.389999999999986,-15.340000000000146,-14.539999999999964,-12.339999999999918,-11.440000000000055,-8.690000000000055,-6.889999999999873,-2.740000000000009,-0.6900000000000546
