Date,Close/Last
1/5/2024,16305.98
1/4/2024,16282.01
1/3/2024,16368.49
1/2/2024,16543.94
12/29/2023,16825.93
12/28/2023,16898.47
12/27/2023,16906.8
12/26/2023,16878.46
12/22/2023,16777.4
12/21/2023,16757.41
12/20/2023,16554.16
12/19/2023,16811.85
12/18/2023,16729.8
12/15/2023,16623.45
12/14/2023,16537.83
12/13/2023,16562.37
12/12/2023,16354.25
12/11/2023,16221.73
12/8/2023,16084.69
12/7/2023,16022.49
12/6/2023,15788.05
12/5/2023,15877.71
12/4/2023,15839.67
12/1/2023,15997.58
11/30/2023,15947.87
11/29/2023,15987.6
11/28/2023,16010.43
11/27/2023,15961.98
11/24/2023,15982.01
11/22/2023,16001.39
11/21/2023,15933.62
11/20/2023,16027.06
11/17/2023,15837.99
11/16/2023,15833.17
11/15/2023,15817.18
11/14/2023,15812.47
11/13/2023,15482.79
11/10/2023,15529.12
11/9/2023,15187.9
11/8/2023,15313.24
11/7/2023,15296.02
11/6/2023,15154.93
11/3/2023,15099.49
11/2/2023,14919.55
11/1/2023,14664.91
10/31/2023,14409.78
10/30/2023,14335.51
10/27/2023,14180.42
10/26/2023,14109.57
10/25/2023,14381.64
10/24/2023,14745.85
10/23/2023,14604.85
10/20/2023,14560.88
10/19/2023,14783.13
10/18/2023,14909.26
10/17/2023,15122.01
10/16/2023,15172.73
10/13/2023,14995.12
10/12/2023,15184.1
10/11/2023,15241.12
10/10/2023,15131.52
10/9/2023,15047.15
10/6/2023,14973.24
10/5/2023,14723.22
10/4/2023,14776.25
10/3/2023,14565.62
10/2/2023,14837.57
9/29/2023,14715.24
9/28/2023,14702.77
9/27/2023,14580.16
9/26/2023,14545.83
9/25/2023,14768.9
9/22/2023,14701.1
9/21/2023,14694.24
9/20/2023,14969.92
9/19/2023,15191.23
9/18/2023,15225.37
9/15/2023,15202.4
9/14/2023,15473.89
9/13/2023,15348.53
9/12/2023,15289.74
9/11/2023,15461.87
9/8/2023,15280.23
9/7/2023,15258.52
9/6/2023,15371.44
9/5/2023,15508.24
9/1/2023,15490.86
8/31/2023,15501.07
8/30/2023,15462.43
8/29/2023,15376.55
8/28/2023,15052.46
8/25/2023,14941.83
8/24/2023,14816.44
8/23/2023,15148.06
8/22/2023,14908.96
8/21/2023,14936.69
8/18/2023,14694.84
8/17/2023,14715.81
8/16/2023,14876.47
8/15/2023,15037.65
8/14/2023,15205.59
8/11/2023,15028.07
8/10/2023,15128.84
8/9/2023,15101.71
8/8/2023,15273.05
8/7/2023,15407.85
8/4/2023,15274.92
8/3/2023,15353.54
8/2/2023,15370.74
8/1/2023,15718.01
7/31/2023,15757
7/28/2023,15750.93
7/27/2023,15464.93
7/26/2023,15499.26
7/25/2023,15561.42
7/24/2023,15448.02
7/21/2023,15425.67
7/20/2023,15466.09
7/19/2023,15826.35
7/18/2023,15841.35
7/17/2023,15713.28
7/14/2023,15565.6
7/13/2023,15571.98
7/12/2023,15307.23
7/11/2023,15119.06
7/10/2023,15045.64
7/7/2023,15036.85
7/6/2023,15089.45
7/5/2023,15203.78
7/3/2023,15208.69
6/30/2023,15179.21
6/29/2023,14939.95
6/28/2023,14964.57
6/27/2023,14945.91
6/26/2023,14689.02
6/23/2023,14891.48
6/22/2023,15042.32
6/21/2023,14867.45
6/20/2023,15070.15
6/16/2023,15083.92
6/15/2023,15185.48
6/14/2023,15005.69
6/13/2023,14900.85
6/12/2023,14784.3
6/9/2023,14528.36
6/8/2023,14484.54
6/7/2023,14303.29
6/6/2023,14558.09
6/5/2023,14556.5
6/2/2023,14546.64
6/1/2023,14441.51
5/31/2023,14254.09
5/30/2023,14354.99
5/26/2023,14298.41
5/25/2023,13938.53
5/24/2023,13604.48
5/23/2023,13672.54
5/22/2023,13849.74
5/19/2023,13803.49
5/18/2023,13834.62
5/17/2023,13589.26
5/16/2023,13426.01
5/15/2023,13413.51
5/12/2023,13340.18
5/11/2023,13389.78
5/10/2023,13347.83
5/9/2023,13201.11
5/8/2023,13291.64
5/5/2023,13259.13
5/4/2023,12982.48
5/3/2023,13030.21
5/2/2023,13113.66
5/1/2023,13231.47
4/28/2023,13245.99
4/27/2023,13160.03
4/26/2023,12806.48
4/25/2023,12725.11
4/24/2023,12969.76
4/21/2023,13000.77
4/20/2023,12985.98
4/19/2023,13088.71
4/18/2023,13091.79
4/17/2023,13087.71
4/14/2023,13079.52
4/13/2023,13109.39
4/12/2023,12848.35
4/11/2023,12964.15
4/10/2023,13051.23
4/6/2023,13062.6
4/5/2023,12967.2
4/4/2023,13100.07
4/3/2023,13148.35
3/31/2023,13181.35
3/30/2023,12963.14
3/29/2023,12846.03
3/28/2023,12610.57
3/27/2023,12673.07
3/24/2023,12767.05
3/23/2023,12729.23
3/22/2023,12567.15
3/21/2023,12741.44
3/20/2023,12562.61
3/17/2023,12519.88
3/16/2023,12581.39
3/15/2023,12251.32
3/14/2023,12199.79
3/13/2023,11923.17
3/10/2023,11830.28
3/9/2023,11995.88
3/8/2023,12215.33
3/7/2023,12152.17
3/6/2023,12302.48
3/3/2023,12290.81
3/2/2023,12044.87
3/1/2023,11938.57
2/28/2023,12042.12
2/27/2023,12057.79
2/24/2023,11969.65
2/23/2023,12180.14
2/22/2023,12066.27
2/21/2023,12060.3
2/17/2023,12358.18
2/16/2023,12442.48
2/15/2023,12687.89
2/14/2023,12590.89
2/13/2023,12502.31
2/10/2023,12304.92
2/9/2023,12381.17
2/8/2023,12495.38
2/7/2023,12728.27
2/6/2023,12464.51
2/3/2023,12573.36
2/2/2023,12803.14
2/1/2023,12363.1
1/31/2023,12101.93
1/30/2023,11912.39
