quote_date,1_C,2_C,3_C,4_C,5_C,6_C,7_C,8_C,9_C,10_C,11_C,12_C,13_C,14_C,15_C,16_C,17_C,18_C,19_C,20_C,21_C,22_C,23_C,24_C,25_C,26_C,27_C,28_C,29_C,30_C,31_C,32_C,33_C,34_C,35_C,36_C,37_C,38_C,39_C,40_C,41_C,42_C,43_C,44_C,45_C,46_C,47_C,48_C,49_C,50_C,51_C,52_C,53_C,54_C,55_C,56_C,57_C,58_C,59_C,60_C,61_C,62_C,63_C,64_C,65_C,66_C,67_C,1_P,2_P,3_P,4_P,5_P,6_P,7_P,8_P,9_P,10_P,11_P,12_P,13_P,14_P,15_P,16_P,17_P,18_P,19_P,20_P,21_P,22_P,23_P,24_P,25_P,26_P,27_P,28_P,29_P,30_P,31_P,32_P,33_P,34_P,35_P,36_P,37_P,38_P,39_P,40_P,41_P,42_P,43_P,44_P,45_P,46_P,47_P,48_P,49_P,50_P,51_P,52_P,53_P,54_P,55_P,56_P,57_P,58_P,59_P,60_P,61_P,62_P,63_P,64_P,65_P,66_P,67_P
2018-01-12,-345.8199999999997,-346.8699999999999,-351.3199999999997,-351.5699999999997,-352.36999999999966,-352.9699999999998,-355.76999999999975,-356.66999999999973,-360.1199999999997,-362.5699999999997,-362.8699999999997,-364.41999999999973,-364.66999999999973,-365.66999999999973,-366.7199999999997,-368.0699999999997,-369.3199999999997,-372.3199999999997,-373.7199999999997,-376.1199999999997,-377.4699999999997,-378.36999999999966,-380.91999999999973,-382.4699999999997,-383.91999999999973,-385.9699999999997,-386.91999999999973,-389.8699999999997,-397.5699999999997,-398.9699999999997,-401.3699999999997,-404.1199999999997,-407.0199999999997,-409.66999999999973,-411.2199999999997,-412.91999999999973,-419.41999999999973,-426.8199999999997,-428.7699999999997,-430.7699999999997,-443.7699999999997,-450.5699999999997,-468.1199999999997,-476.16999999999973,-497.3199999999997,-503.7199999999997,-507.0199999999997,-510.41999999999973,-524.1699999999997,-538.5199999999998,-542.2699999999998,-546.0199999999998,-553.7699999999998,-577.4699999999997,-602.7199999999997,-624.7699999999998,-647.2699999999998,-670.3199999999997,-741.8699999999997,-839.4949999999997,-864.4199999999997,-889.2449999999997,-914.0449999999997,-938.8449999999997,-988.6449999999998,-1088.3699999999997,-1188.1699999999996,-914.6550000000003,-715.6800000000003,-369.58000000000027,-344.9300000000003,-320.3800000000003,-295.9800000000003,-198.53000000000029,-174.4300000000003,-102.6300000000003,-59.78000000000029,-55.130000000000294,-50.58000000000029,-31.88000000000029,-22.68000000000029,-8.880000000000294,4.91999999999971,13.86999999999971,40.21999999999971,49.01999999999971,66.56999999999971,75.56999999999971,79.8699999999997,92.6199999999997,101.01999999999971,109.21999999999971,117.51999999999971,121.51999999999971,133.71999999999971,160.6699999999997,164.11999999999972,171.5199999999997,178.8199999999997,186.1699999999997,193.21999999999971,196.61999999999972,200.11999999999972,213.71999999999971,226.4199999999997,229.5199999999997,232.5699999999997,250.0199999999997,258.2199999999997,275.4699999999997,282.2699999999997,296.4699999999997,299.8199999999997,301.9699999999997,303.4699999999997,309.66999999999973,315.3699999999997,316.0199999999997,317.8699999999997,319.9699999999997,326.3699999999997,331.3199999999997,334.41999999999973,335.8699999999997,338.41999999999973,342.3199999999997,344.5699999999997,344.7199999999997,344.86999999999966,345.61999999999966,345.7199999999997,345.91999999999973,346.0699999999997,346.8199999999997
2018-02-09,698.0800000000004,696.8800000000001,696.1300000000001,691.4800000000002,676.9800000000005,672.4800000000002,671.1800000000003,669.8800000000003,663.7800000000003,662.1300000000003,652.1300000000003,647.3800000000003,639.2300000000002,636.2800000000002,633.0800000000004,614.6800000000003,596.0800000000003,590.8300000000003,573.2800000000003,559.9800000000002,545.1300000000003,528.5800000000003,490.1300000000003,454.7800000000003,409.1800000000003,400.08000000000027,390.7800000000003,384.4800000000003,377.9800000000003,371.3800000000003,364.6800000000003,350.9800000000003,343.9800000000003,335.08000000000027,322.1800000000003,314.6800000000003,254.88000000000028,242.1800000000003,233.6800000000003,211.88000000000028,198.5800000000003,180.4800000000003,152.9800000000003,143.6800000000003,134.28000000000029,115.3800000000003,105.8800000000003,72.28000000000029,48.05500000000029,38.28000000000029,28.55500000000029,18.68000000000029,-21.31999999999971,-31.31999999999971,-41.31999999999971,-71.31999999999971,-81.31999999999971,-101.31999999999971,-161.3199999999997,-171.3199999999997,-351.3199999999997,-376.3199999999997,-476.3199999999997,-501.3199999999997,-526.3199999999997,-901.3199999999997,-1001.3199999999997,-3103.6800000000003,-2904.28,-2804.88,-2408.4800000000005,-1822.2800000000002,-1726.4800000000002,-1702.6800000000003,-1678.8800000000003,-1584.4800000000002,-1561.0800000000004,-1447.2800000000002,-1400.0800000000004,-1332.9800000000002,-1310.8800000000003,-1288.9800000000002,-1182.0800000000004,-1101.8300000000004,-1082.0300000000002,-1024.3300000000004,-987.4800000000002,-952.2300000000002,-918.5800000000003,-857.4800000000002,-816.2300000000002,-777.7800000000003,-771.8800000000003,-766.1300000000003,-762.4800000000002,-761.0300000000003,-757.5300000000003,-754.2300000000002,-747.8800000000003,-744.8800000000003,-741.9800000000002,-736.5300000000003,-733.9800000000002,-718.2800000000003,-715.7800000000003,-714.2300000000002,-710.9300000000003,-709.1800000000003,-707.0800000000003,-704.4800000000002,-702.9300000000003,-703.0300000000003,-701.0300000000002,-700.4800000000002,-698.8800000000003,-698.0300000000003,-697.7300000000002,-697.4800000000002,-697.2300000000002,-696.3800000000003,-696.2300000000002,-696.0800000000003,-695.6800000000003,-695.5800000000003,-695.3300000000004,-694.8800000000003,-694.8300000000003,-694.2300000000005,-694.2300000000005,-694.0300000000002,-693.9800000000002,-693.9300000000003,-693.3300000000004,-693.0800000000004
2018-03-16,-399.2099999999998,-399.65999999999985,-400.80999999999995,-402.8599999999997,-406.30999999999995,-407.7099999999998,-411.30999999999995,-412.6099999999999,-412.55999999999983,-414.8599999999999,-416.65999999999985,-418.8599999999999,-420.05999999999995,-422.8599999999999,-424.5099999999999,-426.2599999999999,-428.65999999999985,-429.0099999999999,-430.2099999999998,-432.15999999999985,-435.15999999999985,-437.30999999999983,-438.5099999999999,-439.30999999999983,-441.20999999999987,-441.90999999999985,-443.2599999999999,-448.4599999999998,-449.2099999999998,-458.05999999999983,-469.40999999999985,-471.40999999999985,-476.5099999999999,-479.2599999999999,-480.60999999999984,-482.0099999999999,-491.15999999999985,-496.10999999999984,-497.65999999999985,-501.30999999999983,-504.65999999999985,-508.65999999999985,-512.5599999999998,-514.5599999999998,-516.6099999999999,-520.8099999999998,-537.3099999999998,-539.7599999999999,-549.7599999999999,-555.0099999999999,-560.7599999999999,-563.7099999999998,-584.5599999999998,-590.9599999999998,-604.4599999999998,-648.7099999999998,-664.6099999999999,-668.7099999999998,-681.0099999999999,-689.5099999999999,-733.4099999999999,-779.5099999999999,-803.1099999999999,-851.1349999999999,-875.4349999999998,-924.4599999999998,-949.1349999999999,-1629.5900000000001,-1529.69,-1331.4150000000002,-1032.315,-734.7900000000002,-635.9900000000001,-439.19000000000017,-390.29000000000013,-365.89000000000016,-292.9900000000001,-244.79000000000013,-196.79000000000013,-172.99000000000015,-125.69000000000014,-102.24000000000015,-78.99000000000015,-55.79000000000015,-46.39000000000014,-32.89000000000014,-19.090000000000146,8.059999999999853,25.909999999999854,34.509999999999856,43.45999999999985,56.60999999999986,60.909999999999854,69.55999999999986,99.60999999999986,103.75999999999985,144.85999999999984,184.10999999999984,191.85999999999984,206.75999999999985,214.05999999999986,217.65999999999985,221.40999999999985,242.20999999999987,252.35999999999984,255.60999999999984,262.10999999999984,268.40999999999985,274.60999999999984,280.7599999999999,283.85999999999984,286.70999999999987,292.60999999999984,311.40999999999985,314.10999999999984,323.95999999999987,328.85999999999984,333.10999999999984,335.40999999999985,349.30999999999983,353.10999999999984,359.40999999999985,375.5099999999999,379.55999999999983,380.10999999999984,382.60999999999984,384.30999999999983,390.55999999999983,395.10999999999984,396.0099999999999,398.05999999999983,398.7599999999999,399.80999999999983,400.15999999999985
2018-04-13,327.1600000000003,326.1600000000003,324.4600000000005,323.5600000000004,322.26000000000045,320.61000000000035,318.5100000000002,315.76000000000045,312.4100000000003,307.61000000000035,299.0600000000004,296.9600000000005,294.76000000000045,289.76000000000045,287.2100000000005,284.0100000000004,277.1100000000004,273.6600000000004,269.51000000000045,265.51000000000045,260.9100000000004,255.8100000000004,250.61000000000035,245.0100000000004,239.41000000000042,232.66000000000042,225.8100000000004,218.5600000000004,215.5100000000004,212.71000000000038,211.1100000000004,209.2600000000004,206.1600000000004,199.0100000000004,195.7600000000004,193.8100000000004,188.3100000000004,184.2100000000004,180.3100000000004,176.4600000000004,174.1100000000004,172.0100000000004,167.7600000000004,163.6600000000004,158.91000000000042,154.5600000000004,151.9600000000004,144.8100000000004,139.8600000000004,134.7600000000004,127.3100000000004,113.3100000000004,107.9100000000004,101.9100000000004,99.1600000000004,96.1600000000004,89.9100000000004,67.5600000000004,50.8100000000004,32.8100000000004,14.410000000000402,-4.9399999999996,-25.0899999999996,-45.6899999999996,-67.0899999999996,-350.3149999999996,-449.1149999999996,-2153.885,-1954.2100000000005,-1755.3100000000004,-1656.2100000000005,-1557.2350000000004,-1458.6100000000004,-1360.6600000000003,-1263.1100000000004,-1166.6100000000004,-1071.2100000000005,-954.3100000000004,-931.3600000000004,-908.5600000000004,-863.5600000000004,-841.1600000000004,-819.1600000000004,-775.6100000000004,-754.3100000000004,-733.2600000000004,-712.5100000000004,-691.8600000000004,-671.7100000000004,-651.9100000000004,-632.5100000000004,-613.3100000000004,-594.7100000000004,-576.4600000000004,-558.7600000000004,-551.7600000000004,-545.0100000000004,-541.5100000000004,-538.1100000000004,-531.3100000000004,-518.2100000000004,-511.9100000000004,-508.5600000000004,-499.3100000000004,-492.9100000000004,-486.8600000000004,-481.0100000000004,-477.9600000000004,-475.0600000000004,-469.3100000000004,-463.6600000000004,-458.1600000000004,-452.7600000000004,-450.1100000000004,-442.2600000000004,-437.0100000000004,-432.0100000000004,-424.8100000000004,-413.4100000000004,-409.1100000000004,-405.0100000000004,-403.0600000000004,-400.9600000000004,-397.0100000000004,-384.1600000000004,-376.2600000000004,-368.9600000000004,-362.5100000000004,-356.8100000000004,-351.7600000000004,-347.4100000000004,-343.7100000000004,-326.5600000000004,-325.4600000000004
2018-05-11,205.0699999999997,204.5699999999997,204.5699999999997,204.06999999999994,203.76999999999998,203.1199999999999,203.3699999999999,203.26999999999998,203.16999999999985,202.9699999999998,202.76999999999998,202.66999999999985,202.1199999999999,201.7199999999998,201.76999999999998,201.41999999999985,201.3699999999999,200.91999999999985,200.7199999999998,200.51999999999998,200.31999999999994,200.1199999999999,200.1199999999999,200.16999999999985,199.3699999999999,199.01999999999987,198.56999999999994,198.16999999999985,197.8699999999999,197.6199999999999,197.16999999999985,196.76999999999998,195.91999999999985,195.41999999999985,194.26999999999998,193.6199999999999,192.91999999999985,192.26999999999987,191.26999999999987,190.6199999999999,189.2199999999998,188.01999999999998,186.76999999999987,183.41999999999985,177.01999999999987,174.1199999999999,164.06999999999994,159.81999999999994,155.06999999999988,149.8699999999999,130.9199999999999,105.3199999999999,95.1699999999999,83.96999999999989,71.96999999999989,58.719999999999885,44.41999999999989,12.169999999999888,-5.4800000000001035,-24.48000000000011,-64.88000000000011,-250.65500000000011,-349.0550000000001,-548.5800000000002,-648.4800000000001,-748.3300000000002,-848.2800000000001,-2453.045,-2353.645,-2253.67,-2053.77,-1953.8449999999998,-1853.9199999999998,-1828.945,-1803.9699999999998,-1778.995,-1729.0449999999998,-1704.0949999999998,-1679.12,-1604.2199999999998,-1529.37,-1504.445,-1479.52,-1429.77,-1404.87,-1379.995,-1355.1699999999998,-1330.2949999999998,-1305.4699999999998,-1280.5949999999998,-1255.7949999999998,-1206.12,-1181.3449999999998,-1131.945,-1107.12,-1082.32,-1057.62,-1032.9699999999998,-1008.2699999999999,-959.0199999999999,-934.5199999999999,-885.4199999999998,-861.0199999999999,-836.6199999999999,-812.4199999999998,-788.0699999999999,-764.1199999999999,-739.9699999999999,-716.1699999999998,-692.5699999999999,-645.4199999999998,-576.9699999999999,-554.5699999999999,-489.5699999999999,-469.2199999999999,-448.8699999999999,-428.8699999999999,-373.01999999999987,-323.3199999999999,-308.3199999999999,-294.4199999999999,-281.5699999999999,-269.6699999999999,-258.9199999999999,-240.8699999999999,-233.4199999999999,-227.3699999999999,-217.91999999999985,-203.1699999999999,-202.16999999999985,-200.9699999999998,-200.3699999999999,-200.06999999999994,-199.76999999999998
2018-06-15,115.66999999999962,115.26999999999953,114.9699999999998,114.01999999999975,113.61999999999966,111.86999999999989,110.51999999999953,109.51999999999975,108.21999999999969,103.01999999999975,101.11999999999966,98.81999999999971,98.16999999999973,95.16999999999973,94.86999999999972,94.56999999999971,92.71999999999969,91.96999999999969,91.81999999999971,90.91999999999973,89.81999999999971,89.06999999999971,88.31999999999971,83.16999999999973,81.61999999999972,80.41999999999973,79.2699999999997,78.06999999999971,76.7699999999997,75.56999999999971,73.96999999999969,72.51999999999975,70.36999999999966,62.469999999999715,61.56999999999971,60.5199999999997,58.5199999999997,56.31999999999971,54.0199999999997,49.5199999999997,47.2699999999997,41.36999999999972,38.66999999999973,37.11999999999972,29.56999999999971,26.36999999999972,22.86999999999972,21.019999999999698,12.069999999999709,3.4199999999997033,-0.930000000000291,-22.480000000000288,-51.23000000000029,-84.78000000000029,-143.2300000000003,-164.4800000000003,-209.38000000000028,-232.38000000000028,-328.20500000000027,-352.5300000000003,-401.7550000000003,-526.0800000000003,-625.8300000000003,-725.0800000000003,-825.0550000000003,-1324.7550000000003,-1424.7550000000003,-2376.5449999999996,-2276.5699999999997,-2176.6449999999995,-1877.0199999999998,-1777.2949999999996,-1478.4699999999998,-1279.8699999999997,-1180.4199999999996,-1081.5199999999998,-811.2699999999998,-757.7699999999998,-699.9199999999997,-680.8199999999997,-623.6199999999997,-618.8699999999997,-614.1199999999997,-585.9199999999997,-576.5199999999998,-571.9199999999997,-558.0199999999998,-548.6699999999997,-539.4199999999997,-530.3199999999997,-480.3699999999997,-466.91999999999973,-458.0199999999997,-449.16999999999973,-440.3199999999997,-431.66999999999973,-422.91999999999973,-414.3199999999997,-405.8699999999997,-393.0699999999997,-355.8199999999997,-351.8699999999997,-347.8699999999997,-339.8699999999997,-332.0699999999997,-324.16999999999973,-308.8199999999997,-301.2699999999997,-286.5699999999997,-279.3199999999997,-275.7199999999997,-258.41999999999973,-251.71999999999971,-245.1699999999997,-241.96999999999971,-226.5199999999997,-214.6699999999997,-209.11999999999972,-185.7699999999997,-164.21999999999971,-147.5199999999997,-130.71999999999971,-126.56999999999971,-121.41999999999973,-119.51999999999975,-114.5199999999997,-113.91999999999973,-113.06999999999971,-111.91999999999962,-111.36999999999966,-111.51999999999975,-111.11999999999966,-109.76999999999975,-109.66999999999962
2018-07-13,27.65000000000009,26.900000000000546,25.90000000000009,23.65000000000009,22.600000000000136,20.90000000000009,19.550000000000182,19.15000000000009,18.550000000000182,18.300000000000182,17.600000000000136,16.15000000000009,14.100000000000136,13.200000000000273,9.500000000000227,8.550000000000182,7.950000000000273,6.200000000000273,5.250000000000227,4.800000000000182,2.950000000000273,2.200000000000159,2.2737367544323206e-13,-0.8499999999997954,-1.6499999999998067,-4.349999999999795,-6.299999999999841,-6.799999999999841,-18.149999999999864,-19.649999999999807,-21.149999999999807,-25.899999999999807,-26.949999999999818,-27.79999999999984,-34.649999999999864,-36.599999999999795,-40.849999999999795,-42.99999999999983,-52.44999999999982,-57.599999999999824,-58.89999999999981,-60.24999999999983,-69.1499999999998,-72.34999999999982,-78.69999999999982,-85.94999999999982,-89.64999999999982,-91.44999999999982,-110.04999999999981,-114.49999999999982,-124.04999999999981,-136.69999999999982,-139.49999999999983,-168.5499999999998,-175.0499999999998,-181.74999999999983,-188.44999999999982,-195.5499999999998,-199.09999999999982,-278.6999999999998,-300.74999999999983,-346.79999999999984,-370.3249999999998,-492.8249999999998,-692.4499999999998,-1092.2999999999997,-1492.225,-2408.925,-2109.025,-1809.2500000000002,-1410.8250000000003,-1212.2500000000002,-1113.3000000000002,-1014.5000000000002,-989.8500000000001,-965.2500000000002,-940.7500000000002,-916.2500000000002,-867.3500000000001,-794.3000000000002,-770.1500000000002,-683.7000000000002,-664.6000000000001,-650.4500000000002,-617.2000000000002,-607.8500000000001,-598.4500000000002,-570.3500000000001,-561.0000000000002,-533.2500000000002,-523.9500000000002,-514.7500000000002,-487.3500000000002,-469.25000000000017,-464.8000000000002,-380.8500000000002,-372.1500000000002,-363.6500000000002,-338.3000000000002,-334.1000000000002,-329.95000000000016,-297.25000000000017,-289.20000000000016,-273.3000000000002,-265.4000000000002,-234.75000000000017,-220.00000000000017,-216.2000000000002,-212.6000000000002,-191.2000000000002,-184.50000000000017,-170.75000000000017,-157.7000000000002,-151.6000000000002,-148.25000000000017,-121.95000000000016,-116.40000000000018,-105.55000000000018,-93.30000000000018,-91.05000000000018,-70.15000000000018,-66.4000000000002,-63.05000000000018,-59.70000000000019,-56.60000000000019,-55.45000000000019,-34.75000000000017,-32.150000000000205,-28.350000000000193,-27.100000000000193,-23.350000000000136,-22.600000000000136,-21.65000000000009,-20.75
2018-08-17,153.94999999999982,152.94999999999982,152.3499999999999,151.1500000000001,149.8499999999999,146.20000000000005,144.54999999999995,144.04999999999995,142.89999999999998,141.79999999999995,141.14999999999998,140.95000000000005,140.14999999999998,137.60000000000002,136.45000000000005,135.3499999999999,132.95000000000005,131.54999999999995,129.04999999999995,127.39999999999998,125.60000000000002,123.75,121.54999999999995,119.80000000000001,114.55000000000001,111.10000000000002,107.55000000000001,103.75,97.89999999999998,80.30000000000001,75.44999999999999,64.05000000000001,57.05000000000001,48.349999999999994,38.849999999999994,17.049999999999997,4.849999999999994,-9.299999999999997,-24.299999999999997,-58.0,-76.85,-97.5,-140.1,-162.5,-186.1,-209.5,-233.525,-331.125,-356.375,-380.875,-582.0,-632.0,-657.0,-732.0,-757.0,-832.0,-857.0,-882.0,-907.0,-932.0,-957.0,-1057.0,-1257.0,-1357.0,-1457.0,-1557.0,-1857.0,-2048.0,-1847.275,-1747.7,-1648.3,-1449.725,-1153.0,-1054.5,-1029.85,-1005.4,-956.5,-932.15,-907.6,-883.5,-810.9,-786.85,-762.7,-715.2,-691.5,-667.9,-644.6,-621.3,-598.0,-575.35,-553.45,-508.0,-486.55,-464.75,-443.35,-422.55,-342.35,-323.75,-305.95,-288.7,-272.35,-256.55,-228.35,-216.89999999999998,-206.14999999999998,-196.45,-179.0,-172.95,-168.85,-160.89999999999998,-159.54999999999995,-157.75,-156.05,-154.95,-152.75,-152.35000000000002,-152.10000000000002,-150.95000000000005,-150.6500000000001,-150.64999999999998,-150.45000000000005,-150.29999999999995,-150.14999999999998,-150.14999999999998,-150.04999999999995,-149.94999999999982,-149.94999999999982,-149.8499999999999,-149.6500000000001,-149.25,-149.05000000000018,-148.94999999999982,-148.75,-148.1500000000001
2018-09-14,-395.8399999999999,-396.24,-396.6399999999999,-397.53999999999996,-397.99,-398.6399999999999,-399.3899999999999,-400.24,-401.3899999999999,-402.39,-404.93999999999994,-407.53999999999996,-409.53999999999996,-415.89,-422.43999999999994,-424.49,-426.43999999999994,-429.28999999999996,-431.99,-434.89,-437.98999999999995,-441.68999999999994,-445.64,-449.84,-454.68999999999994,-459.78999999999996,-465.39,-471.43999999999994,-485.34,-493.23999999999995,-501.84,-511.39,-521.64,-532.89,-545.0899999999999,-558.4399999999999,-572.9399999999999,-588.5899999999999,-605.39,-623.39,-642.39,-662.4399999999999,-683.49,-705.14,-727.5899999999999,-750.4399999999999,-773.8399999999999,-797.5899999999999,-821.5649999999999,-845.8399999999999,-870.3149999999999,-894.79,-919.515,-944.24,-1043.865,-1143.465,-1243.415,-1343.3899999999999,-1443.365,-1543.365,-1643.365,-1843.34,-1943.34,-2043.34,-2143.34,-2243.34,-2343.34,-1557.91,-1458.31,-1358.51,-1159.06,-1059.8600000000001,-959.6600000000001,-860.1850000000001,-760.9100000000001,-661.9100000000001,-563.3100000000001,-464.96000000000004,-367.46000000000004,-270.86,-175.26000000000005,-81.96000000000004,-58.91000000000004,-36.06000000000004,-13.560000000000038,8.83999999999996,30.889999999999958,52.639999999999965,74.08999999999996,95.33999999999996,116.03999999999996,136.48999999999995,156.43999999999997,175.88999999999996,194.88999999999996,231.13999999999996,248.28999999999996,264.59,280.23999999999995,294.89,308.73999999999995,321.68999999999994,333.18999999999994,343.89,353.28999999999996,361.53999999999996,368.59,374.73999999999995,379.68999999999994,384.09,387.03999999999996,389.59,391.93999999999994,393.18999999999994,394.34,395.68999999999994,396.43999999999994,396.93999999999994,397.48999999999995,397.89,398.19000000000005,398.74,399.49,399.93999999999994,400.3399999999999,400.5899999999999,400.8399999999999,400.44000000000005,401.53999999999996,401.69000000000005,401.78999999999996,402.19000000000005,402.3899999999999,402.5899999999999
2018-10-12,-118.50000000000045,-118.75000000000045,-120.80000000000041,-123.60000000000036,-124.95000000000027,-126.75000000000045,-129.50000000000045,-130.40000000000032,-130.85000000000036,-133.40000000000055,-134.4500000000004,-135.5500000000004,-137.10000000000036,-139.00000000000034,-142.25000000000045,-143.35000000000036,-144.9500000000004,-146.65000000000032,-148.5500000000004,-152.75000000000045,-157.2000000000004,-159.8000000000004,-165.2000000000004,-167.90000000000032,-171.0500000000004,-174.4500000000004,-185.55000000000035,-189.65000000000038,-194.00000000000034,-198.65000000000038,-203.55000000000035,-208.9500000000004,-214.15000000000038,-220.10000000000036,-239.60000000000036,-246.90000000000032,-262.2000000000004,-270.6500000000004,-288.85000000000036,-298.55000000000035,-330.85000000000036,-342.7000000000004,-355.50000000000034,-368.35000000000036,-382.30000000000035,-396.85000000000036,-412.1500000000004,-428.1500000000004,-519.1000000000004,-539.2000000000004,-560.0000000000003,-581.6500000000003,-647.8000000000004,-670.9000000000003,-694.1000000000004,-741.3000000000004,-814.1000000000004,-888.2500000000003,-937.7000000000004,-962.6000000000004,-1062.3500000000004,-1262.2000000000003,-1362.2000000000003,-1662.1750000000004,-1762.1750000000004,-1862.1750000000004,-1962.1750000000004,-1842.0749999999996,-1742.3249999999996,-1543.7999999999997,-1345.8499999999997,-1247.0499999999997,-1148.9499999999996,-1051.6499999999996,-1026.8999999999996,-1002.8999999999996,-930.5999999999997,-906.5999999999997,-882.6999999999996,-858.6499999999996,-810.7499999999997,-763.6999999999996,-740.2499999999997,-716.7999999999996,-693.5499999999996,-670.3499999999997,-624.2999999999996,-578.6499999999996,-556.0999999999997,-511.5499999999996,-489.2999999999996,-467.39999999999964,-445.7999999999996,-381.89999999999964,-360.99999999999966,-340.39999999999964,-320.19999999999965,-300.0499999999996,-280.39999999999964,-260.7999999999996,-241.54999999999964,-186.14999999999964,-168.04999999999964,-133.64999999999964,-116.89999999999964,-84.79999999999961,-69.44999999999965,-26.599999999999625,-13.499999999999659,-0.9499999999996476,10.75000000000037,21.850000000000364,32.20000000000039,42.20000000000039,51.05000000000041,86.40000000000038,90.90000000000038,95.45000000000039,99.40000000000038,108.25000000000034,110.25000000000034,112.70000000000027,114.75000000000045,118.50000000000034,119.95000000000027,119.60000000000036,120.75000000000045,121.40000000000032,122.10000000000036,122.30000000000018,123.05000000000041,123.25000000000045,123.30000000000018,123.65000000000032
