,quote_date,expiration_C,strike,option_type_C,bid_1545_C,ask_1545_C,expiration_P,option_type_P,bid_1545_P,ask_1545_P,date,rate,implied_S_x,moneyness,implied_S_y
31,2018-01-12,2018-02-09,6440.0,C,336.1,345.4,2018-02-09,P,20.4,24.4,2018-01-12,0.0131,6751.369103449775,311.36910344977514,6751.2330665040345
32,2018-01-12,2018-02-09,6450.0,C,327.8,336.2,2018-02-09,P,21.4,25.5,2018-01-12,0.0131,6751.5582635483,301.5582635482997,6751.2330665040345
33,2018-01-12,2018-02-09,6460.0,C,318.2,327.2,2018-02-09,P,22.4,26.5,2018-01-12,0.0131,6751.247423646824,291.24742364682425,6751.2330665040345
34,2018-01-12,2018-02-09,6470.0,C,309.9,318.2,2018-02-09,P,23.5,27.5,2018-01-12,0.0131,6751.536583745349,281.53658374534916,6751.2330665040345
35,2018-01-12,2018-02-09,6475.0,C,305.5,313.8,2018-02-09,P,24.8,28.3,2018-01-12,0.0131,6751.08116379461,276.0811637946099,6751.2330665040345
36,2018-01-12,2018-02-09,6480.0,C,300.6,309.4,2018-02-09,P,25.4,28.8,2018-01-12,0.0131,6750.875743843872,270.87574384387244,6751.2330665040345
37,2018-01-12,2018-02-09,6490.0,C,292.3,300.5,2018-02-09,P,26.6,30.0,2018-01-12,0.0131,6751.064903942397,261.064903942397,6751.2330665040345
38,2018-01-12,2018-02-09,6500.0,C,283.1,291.9,2018-02-09,P,27.8,31.2,2018-01-12,0.0131,6750.954064040922,250.95406404092228,6751.2330665040345
39,2018-01-12,2018-02-09,6510.0,C,274.5,283.1,2018-02-09,P,29.1,32.4,2018-01-12,0.0131,6750.993224139447,240.9932241394472,6751.2330665040345
40,2018-01-12,2018-02-09,6520.0,C,265.8,274.5,2018-02-09,P,29.6,33.9,2018-01-12,0.0131,6751.3323842379705,231.33238423797047,6751.2330665040345
41,2018-01-12,2018-02-09,6525.0,C,261.7,270.4,2018-02-09,P,30.3,34.6,2018-01-12,0.0131,6751.526964287234,226.52696428723357,6751.2330665040345
42,2018-01-12,2018-02-09,6530.0,C,257.7,266.4,2018-02-09,P,31.9,35.4,2018-01-12,0.0131,6751.321544336496,221.32154433649612,6751.2330665040345
43,2018-01-12,2018-02-09,6540.0,C,249.3,257.9,2018-02-09,P,32.5,36.9,2018-01-12,0.0131,6751.810704435021,211.81070443502085,6751.2330665040345
44,2018-01-12,2018-02-09,6550.0,C,240.8,249.5,2018-02-09,P,34.1,38.5,2018-01-12,0.0131,6751.749864533544,201.7498645335436,6751.2330665040345
45,2018-01-12,2018-02-09,6560.0,C,232.5,240.7,2018-02-09,P,36.0,40.2,2018-01-12,0.0131,6751.389024632069,191.38902463206887,6751.2330665040345
46,2018-01-12,2018-02-09,6570.0,C,224.4,232.9,2018-02-09,P,37.8,41.8,2018-01-12,0.0131,6751.728184730593,181.72818473059306,6751.2330665040345
47,2018-01-12,2018-02-09,6575.0,C,220.4,228.8,2018-02-09,P,38.7,42.9,2018-01-12,0.0131,6751.672764779856,176.67276477985615,6751.2330665040345
48,2018-01-12,2018-02-09,6580.0,C,216.5,224.8,2018-02-09,P,39.7,43.9,2018-01-12,0.0131,6751.717344829118,171.7173448291178,6751.2330665040345
49,2018-01-12,2018-02-09,6590.0,C,208.5,216.6,2018-02-09,P,41.3,45.9,2018-01-12,0.0131,6751.806504927642,161.80650492764198,6751.2330665040345
50,2018-01-12,2018-02-09,6600.0,C,200.5,208.7,2018-02-09,P,43.3,47.9,2018-01-12,0.0131,6751.845665026167,151.8456650261669,6751.2330665040345
51,2018-01-12,2018-02-09,6610.0,C,192.7,200.7,2018-02-09,P,45.5,50.1,2018-01-12,0.0131,6751.734825124691,141.73482512469127,6751.2330665040345
52,2018-01-12,2018-02-09,6620.0,C,185.2,193.2,2018-02-09,P,47.8,52.4,2018-01-12,0.0131,6751.923985223216,131.92398522321582,6751.2330665040345
53,2018-01-12,2018-02-09,6625.0,C,181.3,189.2,2018-02-09,P,49.7,53.6,2018-01-12,0.0131,6751.418565272478,126.41856527247819,6751.2330665040345
54,2018-01-12,2018-02-09,6630.0,C,177.7,185.6,2018-02-09,P,50.2,56.2,2018-01-12,0.0131,6751.26314532174,121.26314532174001,6751.2330665040345
55,2018-01-12,2018-02-09,6640.0,C,170.2,177.9,2018-02-09,P,52.8,58.8,2018-01-12,0.0131,6751.052305420265,111.05230542026493,6751.2330665040345
56,2018-01-12,2018-02-09,6650.0,C,162.9,170.7,2018-02-09,P,55.5,61.5,2018-01-12,0.0131,6751.09146551879,101.09146551878985,6751.2330665040345
57,2018-01-12,2018-02-09,6660.0,C,155.9,163.5,2018-02-09,P,58.3,64.0,2018-01-12,0.0131,6751.330625617315,91.33062561731458,6751.2330665040345
58,2018-01-12,2018-02-09,6670.0,C,148.7,156.0,2018-02-09,P,61.0,67.2,2018-01-12,0.0131,6751.019785715838,81.01978571583822,6751.2330665040345
59,2018-01-12,2018-02-09,6675.0,C,145.2,152.6,2018-02-09,P,62.7,68.7,2018-01-12,0.0131,6750.9643657651,75.96436576510041,6751.2330665040345
60,2018-01-12,2018-02-09,6680.0,C,141.9,149.3,2018-02-09,P,64.1,70.3,2018-01-12,0.0131,6751.1589458143635,71.1589458143635,6751.2330665040345
61,2018-01-12,2018-02-09,6690.0,C,135.2,142.3,2018-02-09,P,67.2,73.4,2018-01-12,0.0131,6751.1981059128875,61.19810591288751,6751.2330665040345
62,2018-01-12,2018-02-09,6700.0,C,128.6,135.6,2018-02-09,P,70.5,76.7,2018-01-12,0.0131,6751.237266011412,51.23726601141243,6751.2330665040345
63,2018-01-12,2018-02-09,6710.0,C,122.4,129.2,2018-02-09,P,74.1,80.4,2018-01-12,0.0131,6751.276426109936,41.27642610993644,6751.2330665040345
64,2018-01-12,2018-02-09,6720.0,C,116.1,122.9,2018-02-09,P,77.7,84.1,2018-01-12,0.0131,6751.315586208461,31.315586208461355,6751.2330665040345
65,2018-01-12,2018-02-09,6725.0,C,113.1,119.8,2018-02-09,P,79.6,86.0,2018-01-12,0.0131,6751.360166257723,26.360166257722994,6751.2330665040345
66,2018-01-12,2018-02-09,6730.0,C,110.1,116.8,2018-02-09,P,81.6,87.9,2018-01-12,0.0131,6751.4047463069855,21.404746306985544,6751.2330665040345
67,2018-01-12,2018-02-09,6740.0,C,104.2,110.7,2018-02-09,P,85.6,91.9,2018-01-12,0.0131,6751.393906405509,11.39390640550937,6751.2330665040345
68,2018-01-12,2018-02-09,6750.0,C,98.1,105.0,2018-02-09,P,89.9,96.1,2018-01-12,0.0131,6751.2330665040345,1.2330665040344684,6751.2330665040345
69,2018-01-12,2018-02-09,6760.0,C,93.5,99.4,2018-02-09,P,94.2,100.4,2018-01-12,0.0131,6751.822226602559,-8.177773397441342,6751.2330665040345
70,2018-01-12,2018-02-09,6770.0,C,87.8,93.9,2018-02-09,P,98.6,105.1,2018-01-12,0.0131,6751.661386701084,-18.338613298916243,6751.2330665040345
71,2018-01-12,2018-02-09,6775.0,C,85.3,91.2,2018-02-09,P,100.3,107.9,2018-01-12,0.0131,6751.805966750346,-23.19403324965424,6751.2330665040345
72,2018-01-12,2018-02-09,6780.0,C,82.5,88.5,2018-02-09,P,102.8,110.1,2018-01-12,0.0131,6751.700546799608,-28.299453200392236,6751.2330665040345
